Id,Year,Activity,Fuel,Size,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
1,2013,CarsBySize,Diesel,Small,km,0.14048,0.13866,0.00005,0.00177,0.0297
2,2013,CarsBySize,Diesel,Small,miles,0.226080645,0.223151639,8.05E-05,0.002848539,0.047797517
3,2013,CarsBySize,Diesel,Medium,km,0.17475,0.17293,0.00005,0.00177,0.03704
4,2013,CarsBySize,Diesel,Medium,miles,0.281232864,0.278303858,8.05E-05,0.002848539,0.059610102
5,2013,CarsBySize,Diesel,Large,km,0.22941,0.22759,0.00005,0.00177,0.04875
6,2013,CarsBySize,Diesel,Large,miles,0.369199607,0.366270601,8.05E-05,0.002848539,0.07845552
7,2013,CarsBySize,Diesel,Average,km,0.18322,0.1814,0.00005,0.00177,0.03886
8,2013,CarsBySize,Diesel,Average,miles,0.294864008,0.291935002,8.05E-05,0.002848539,0.062539108
9,2013,CarsBySize,Petrol,Small,km,0.16192,0.16122,0.00014,0.00056,0.03241
10,2013,CarsBySize,Petrol,Small,miles,0.26058498,0.25945844,0.000225308,0.000901233,0.052158839
11,2013,CarsBySize,Petrol,Medium,km,0.2049,0.2042,0.00014,0.00056,0.04106
12,2013,CarsBySize,Petrol,Medium,miles,0.329754586,0.328628045,0.000225308,0.000901233,0.066079665
13,2013,CarsBySize,Petrol,Large,km,0.29678,0.29608,0.00014,0.00056,0.05953
14,2013,CarsBySize,Petrol,Large,miles,0.477621112,0.476494572,0.000225308,0.000901233,0.095804248
15,2013,CarsBySize,Petrol,Average,km,0.19811,0.19741,0.00014,0.00056,0.03969
16,2013,CarsBySize,Petrol,Average,miles,0.31882714,0.317700599,0.000225308,0.000901233,0.063874863
17,2013,CarsBySize,Hybrid,Small,km,0.1072,0.10655,9.25E-05,0.00056,0.02142
18,2013,CarsBySize,Hybrid,Small,miles,0.172521677,0.171475603,0.000148906,0.000901233,0.034472148
19,2013,CarsBySize,Hybrid,Medium,km,0.11472,0.11408,7.82E-05,0.00056,0.02294
20,2013,CarsBySize,Hybrid,Medium,miles,0.184623944,0.183593964,0.000125872,0.000901233,0.036918351
21,2013,CarsBySize,Hybrid,Large,km,0.203,0.20234,9.57E-05,0.00056,0.04068
22,2013,CarsBySize,Hybrid,Large,miles,0.326696832,0.325634665,0.000153975,0.000901233,0.065468114
23,2013,CarsBySize,Hybrid,Average,km,0.13103,0.13038,9.25E-05,0.00056,0.02621
24,2013,CarsBySize,Hybrid,Average,miles,0.210872344,0.209826271,0.000148805,0.000901233,0.042180906
25,2013,CarsBySize,CNG,Small,km,,,,,
26,2013,CarsBySize,CNG,Small,miles,,,,,
27,2013,CarsBySize,CNG,Medium,km,0.16676,0.16482,0.0007,0.00124,0.03782
28,2013,CarsBySize,CNG,Medium,miles,0.268374205,0.265252078,0.001126541,0.001995587,0.06086539
29,2013,CarsBySize,CNG,Large,km,0.24092,0.23898,0.0007,0.00124,0.05484
30,2013,CarsBySize,CNG,Large,miles,0.387723156,0.384601029,0.001126541,0.001995587,0.088256425
31,2013,CarsBySize,CNG,Average,km,0.18882,0.18688,0.0007,0.00124,0.04289
32,2013,CarsBySize,CNG,Average,miles,0.303876334,0.300754207,0.001126541,0.001995587,0.069024764
33,2013,CarsBySize,LPG,Small,km,,,,,
34,2013,CarsBySize,LPG,Small,miles,,,,,
35,2013,CarsBySize,LPG,Medium,km,0.18727,0.18566,0.00037,0.00124,0.02329
36,2013,CarsBySize,LPG,Medium,miles,0.301381851,0.298790807,0.000595457,0.001995587,0.037481622
37,2013,CarsBySize,LPG,Large,km,0.27081,0.2692,0.00037,0.00124,0.03377
38,2013,CarsBySize,LPG,Large,miles,0.435826449,0.433235405,0.000595457,0.001995587,0.054347547
39,2013,CarsBySize,LPG,Average,km,0.21212,0.21051,0.00037,0.00124,0.02641
40,2013,CarsBySize,LPG,Average,miles,0.341374049,0.338783005,0.000595457,0.001995587,0.042502775
41,2013,CarsBySize,Unknown,Small,km,0.15557,0.15458,0.00011,0.00088,0.03169
42,2013,CarsBySize,Unknown,Small,miles,0.250365646,0.248772396,0.000177028,0.001416223,0.051000111
43,2013,CarsBySize,Unknown,Medium,km,0.19083,0.18967,0.0001,0.00106,0.03938
44,2013,CarsBySize,Unknown,Medium,miles,0.307111116,0.305244276,0.000160934,0.001705905,0.063375967
45,2013,CarsBySize,Unknown,Large,km,0.25023,0.24885,0.00008,0.0013,0.05287
46,2013,CarsBySize,Unknown,Large,miles,0.402706149,0.400485254,0.000128748,0.002092147,0.085086017
47,2013,CarsBySize,Unknown,Average,km,0.19023,0.18908,0.0001,0.00105,0.03935
48,2013,CarsBySize,Unknown,Average,miles,0.306145509,0.304294764,0.000160934,0.001689811,0.063327686
