Id,Year,Activity,ShipType,MinCapacity,CapacityUnit,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
30,2013,SeaTanker,CrudeTanker,200000,DWT,TonneKm,0.00292,0.0029,0,0.00002,0.00055
31,2013,SeaTanker,CrudeTanker,120000,DWT,TonneKm,0.00443,0.0044,0,0.00003,0.00083
32,2013,SeaTanker,CrudeTanker,80000,DWT,TonneKm,0.00595,0.0059,0,0.00005,0.00111
33,2013,SeaTanker,CrudeTanker,60000,DWT,TonneKm,0.00756,0.0075,0,0.00006,0.00142
34,2013,SeaTanker,CrudeTanker,10000,DWT,TonneKm,0.00917,0.0091,0,0.00007,0.00172
35,2013,SeaTanker,CrudeTanker,0,DWT,TonneKm,0.03357,0.0333,0.00001,0.00026,0.00629
36,2013,SeaTanker,CrudeTanker,-1,DWT,TonneKm,0.00454,0.00451,0,0.00003,0.00085
37,2013,SeaTanker,ProductsTanker,60000,DWT,TonneKm,0.00574,0.0057,0,0.00004,0.00108
38,2013,SeaTanker,ProductsTanker,20000,DWT,TonneKm,0.01038,0.0103,0,0.00008,0.00195
39,2013,SeaTanker,ProductsTanker,10000,DWT,TonneKm,0.01885,0.0187,0.00001,0.00014,0.00353
40,2013,SeaTanker,ProductsTanker,5000,DWT,TonneKm,0.02943,0.0292,0.00001,0.00022,0.00552
41,2013,SeaTanker,ProductsTanker,0,DWT,TonneKm,0.04536,0.045,0.00001,0.00035,0.0085
42,2013,SeaTanker,ProductsTanker,-1,DWT,TonneKm,0.00898,0.00891,0,0.00007,0.00168
43,2013,SeaTanker,ChemicalTanker,20000,DWT,TonneKm,0.00846,0.0084,0,0.00006,0.00159
44,2013,SeaTanker,ChemicalTanker,10000,DWT,TonneKm,0.01088,0.0108,0,0.00008,0.00204
45,2013,SeaTanker,ChemicalTanker,5000,DWT,TonneKm,0.01522,0.0151,0,0.00012,0.00285
46,2013,SeaTanker,ChemicalTanker,0,DWT,TonneKm,0.02238,0.0222,0.00001,0.00017,0.00419
47,2013,SeaTanker,ChemicalTanker,-1,DWT,TonneKm,0.01026,0.01018,0,0.00008,0.00192
48,2013,SeaTanker,LNGTanker,200000,M3,TonneKm,0.00937,0.0093,0,0.00007,0.00176
49,2013,SeaTanker,LNGTanker,0,M3,TonneKm,0.01461,0.0145,0,0.00011,0.00274
50,2013,SeaTanker,LNGTanker,-1,M3,TonneKm,0.01148,0.01139,0,0.00009,0.00215
51,2013,SeaTanker,LPGTanker,50000,M3,TonneKm,0.00907,0.009,0,0.00007,0.0017
52,2013,SeaTanker,LPGTanker,0,M3,TonneKm,0.04384,0.0435,0.00001,0.00033,0.00822
53,2013,SeaTanker,LPGTanker,-1,M3,TonneKm,0.01032,0.01024,0,0.00008,0.00193
