Id,Year,Activity,Haul,PassengerClass,Unit,IncludeRF,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
1,2013,Flights,Domestic,Average,PassengerKm,TRUE,0.326615,0.324811,0.000119,0.001685,0.0356184
2,2013,Flights,Domestic,Average,PassengerKm,FALSE,0.1727568,0.1709532,0.0001188,0.0016848,0.0356184
3,2013,Flights,LongHaul,Average,PassengerKm,TRUE,0.226528,0.225351,0.000011,0.001166,0.0247104
4,2013,Flights,LongHaul,Average,PassengerKm,FALSE,0.1197828,0.1186056,0.0000108,0.0011664,0.0247104
5,2013,Flights,LongHaul,Business,PassengerKm,TRUE,0.479574,0.47709,0.000011,0.002473,0.052326
6,2013,Flights,LongHaul,Business,PassengerKm,FALSE,0.253584,0.2511,0.0000108,0.0024732,0.052326
7,2013,Flights,LongHaul,Economy,PassengerKm,TRUE,0.165362,0.164509,0,0.000853,0.0180468
8,2013,Flights,LongHaul,Economy,PassengerKm,FALSE,0.0874368,0.0865836,0,0.0008532,0.0180468
9,2013,Flights,LongHaul,First,PassengerKm,TRUE,0.66147,0.658035,0.000022,0.003413,0.0721656
10,2013,Flights,LongHaul,First,PassengerKm,FALSE,0.3497688,0.3463344,0.0000216,0.0034128,0.0721656
11,2013,Flights,LongHaul,PremiumEconomy,PassengerKm,TRUE,0.264582,0.26321,0.000011,0.001361,0.0288684
12,2013,Flights,LongHaul,PremiumEconomy,PassengerKm,FALSE,0.1399032,0.1385316,0.0000108,0.0013608,0.0288684
13,2013,Flights,ShortHaul,Average,PassengerKm,TRUE,0.192457,0.191452,0.000011,0.000994,0.0209952
14,2013,Flights,ShortHaul,Average,PassengerKm,FALSE,0.1017684,0.100764,0.0000108,0.0009936,0.0209952
15,2013,Flights,ShortHaul,Business,PassengerKm,TRUE,0.275101,0.273675,0.000011,0.001415,0.0300132
16,2013,Flights,ShortHaul,Business,PassengerKm,FALSE,0.1454652,0.1440396,0.0000108,0.0014148,0.0300132
17,2013,Flights,ShortHaul,Economy,PassengerKm,TRUE,0.183404,0.182443,0.000011,0.00095,0.0200124
18,2013,Flights,ShortHaul,Economy,PassengerKm,FALSE,0.096984,0.0960228,0.0000108,0.0009504,0.0200124
