Id,Year,Activity,Refrigerated,PercentLaden,HGVType,MinWeight,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
1,2013,HGV,FALSE,0,Rigid,3.5,TonneKm,,0.11582,0.06249,0.12509,
2,2013,HGV,FALSE,0,Rigid,3.5,km,0.11735,0.12744,0.13753,0.12663,0.11735
3,2013,HGV,FALSE,0,Rigid,3.5,miles,0.188856518,0.205094799,0.22133308,0.203791231,0.188856518
4,2013,HGV,FALSE,0,Rigid,7.5,TonneKm,,0.06067,0.03409,0.07566,
5,2013,HGV,FALSE,0,Rigid,7.5,km,0.14039,0.16021,0.18003,0.15585,0.14039
6,2013,HGV,FALSE,0,Rigid,7.5,miles,0.225935804,0.257833002,0.2897302,0.250816262,0.225935804
7,2013,HGV,FALSE,0,Rigid,17,TonneKm,,0.04385,0.02583,0.0411,
8,2013,HGV,FALSE,0,Rigid,17,km,0.16904,0.20566,0.24228,0.20869,0.16904
9,2013,HGV,FALSE,0,Rigid,17,miles,0.27204351,0.330977687,0.389911864,0.335853999,0.27204351
10,2013,HGV,FALSE,0,Rigid,-1,TonneKm,,,,0.05312,
11,2013,HGV,FALSE,0,Rigid,-1,km,,,,0.17812,
12,2013,HGV,FALSE,0,Rigid,-1,miles,,,,0.286656353,
13,2013,HGV,FALSE,0,Articulated,3.5,TonneKm,,0.0312,0.01869,0.03461,
14,2013,HGV,FALSE,0,Articulated,3.5,km,0.15672,0.19538,0.23404,0.19074,0.15672
15,2013,HGV,FALSE,0,Articulated,3.5,miles,0.252216392,0.314433631,0.37665087,0.306966275,0.252216392
16,2013,HGV,FALSE,0,Articulated,33,TonneKm,,0.02119,0.01322,0.01811,
17,2013,HGV,FALSE,0,Articulated,33,km,0.15162,0.20138,0.25115,0.21333,0.15162
18,2013,HGV,FALSE,0,Articulated,33,miles,0.244008737,0.324089695,0.404186746,0.343321356,0.244008737
19,2013,HGV,FALSE,0,Articulated,-1,TonneKm,,,,0.01886,
20,2013,HGV,FALSE,0,Articulated,-1,km,,,,0.21333,
21,2013,HGV,FALSE,0,Articulated,-1,miles,,,,0.343321356,
22,2013,HGV,FALSE,0,All,-1,TonneKm,,,,0.02642,
