Id,Station,Address,Latitude,Longitude
1,Abbey Road,"Abbey Road, London E15, UK",51.53193,0.00376
2,Abbey Wood,"Abbey Wood, London SE2, UK",51.494107,0.121262
3,Aber,"Aber, Gwynedd LL33, UK",53.236641,-4.024252
4,Abercynon,"Abercynon, Rhondda Cynon Taff, UK",51.647512,-3.3293529
5,Abercynon,"Abercynon, Rhondda Cynon Taff, UK",51.647512,-3.3293529
6,Abercynon North,"Abercynon, Rhondda Cynon Taff, UK",51.647512,-3.3293529
7,Aberdare,"Aberdare, Rhondda Cynon Taff CF44, UK",51.716154,-3.451816
8,Aberdeen,"Aberdeen, Aberdeen City, UK",57.149717,-2.094278
9,Aberdour,"Aberdour, Fife, UK",56.054679,-3.30273
10,Aberdovey,"Aberdovey, Gwynedd, UK",52.543963,-4.046093
11,Abererch,"Abererch, Gwynedd LL53, UK",52.903768,-4.381498
12,Abergavenny,"Abergavenny, Monmouthshire NP7, UK",51.825366,-3.019423
13,Abergele & Pensarn,"Abergele & Pensarn, Pensarn, Conwy LL22, UK",53.2945886,-3.582625
14,Aberystwyth,"Aberystwyth, Ceredigion, UK",52.415303,-4.08292
15,Accrington,"Accrington, Lancashire, UK",53.753609,-2.37218
16,Achanalt,"Achanalt, Garve, Highland IV23, UK",57.6095764,-4.913846
17,Achnasheen,"Achnasheen, Highland IV22, UK",57.581087,-5.082511
18,Achnashellach,"Achnashellach, Strathcarron, Highland IV54, UK",57.4820517,-5.3330495
19,Acklington,"Acklington, Northumberland NE65, UK",55.309754,-1.64182
20,Acle,"Acle, Norfolk NR13, UK",52.638278,1.550643
21,Acocks Green,"Acocks Green, Birmingham, West Midlands B27, UK",52.443155,-1.829907
22,Acton Bridge,"Acton Bridge, Cheshire West and Chester CW8, UK",53.27404,-2.607693
23,Acton Central,"Acton Central, London W3, UK",51.5087157,-0.2629476
24,Acton Main Line,"Acton Main Line, London W3, UK",51.5171797,-0.2667333
25,Acton Town,"Acton Town, London W3, UK",51.50306,-0.28044
26,Adderley Park,"Adderley Park, Birmingham, West Midlands B8, UK",52.4830988,-1.8559396
27,Addiewell,"Addiewell, West Lothian, UK",55.845341,-3.614513
28,Addington Village,"Addington, Kent ME19, UK",51.305996,0.3745839
29,Addlestone,"Addlestone, Surrey, UK",51.369813,-0.488641
30,Adisham,"Adisham, Kent CT3, UK",51.240668,1.187223
31,Adlington (Cheshire),"Adlington (Cheshire), Macclesfield, Cheshire East SK10, UK",53.3195696,-2.1335616
32,Adlington (Lancashire),"Adlington, Lancashire, UK",53.611055,-2.606365
33,Adwick,"Adwick upon Dearne, South Yorkshire, UK",53.510281,-1.293788
34,Aigburth,"Aigburth, Liverpool, Merseyside L17, UK",53.367285,-2.924288
35,Ainsdale,"Ainsdale, Southport, Merseyside PR8, UK",53.602375,-3.037908
36,Aintree,"Aintree, Liverpool, Merseyside L10, UK",53.479322,-2.937284
37,Airbles,"Airbles, Motherwell, North Lanarkshire ML1, UK",55.7828282,-3.9941847
38,Airdrie,"Airdrie, North Lanarkshire, UK",55.866267,-3.962566
39,Albany Park,"Albany Park, Chicago, IL, USA",41.9689723,-87.7197245
40,Albrighton,"Albrighton, Shropshire, UK",52.633035,-2.28022
